TIME,SEX,AGE,ICD10,Value
2001,Males,9,All causes of death (A00-Y89) excluding S00-T98,277858
2001,Males,73,Certain infectious and parasitic diseases (A00-B99),5347
2001,Males,33,Tuberculosis,545
2001,Males,86,Meningococcal infection,30
2001,Males,3,Viral hepatitis,471
2001,Males,3,Human immunodeficiency virus [HIV] disease,892
2001,Males,92,Neoplasms,91737
2001,Males,38,Malignant neoplasms (C00-C97),88481
2001,Males,50,"Malignant neoplasm of lip, oral cavity, pharynx",3755
2001,Males,65,Malignant neoplasm of oesophagus,3442
2001,Males,40,Malignant neoplasm of stomach,3213
2001,Males,20,Malignant neoplasm of colon,6274
2001,Males,67,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",2242
2001,Males,47,Malignant neoplasm of liver and intrahepatic bile ducts,5258
2001,Males,2,Malignant neoplasm of pancreas,3788
2001,Males,33,"Malignant neoplasm of larynx,  trachea, bronchus and lung",22457
2001,Males,74,Malignant melanoma of skin,761
2001,Males,28,Malignant neoplasm of breast,177
2001,Males,49,Malignant neoplasm of cervix uteri,:
2001,Males,96,Malignant neoplasm of other parts of uterus,:
2001,Males,81,Malignant neoplasm of ovary,:
2001,Males,100,Malignant neoplasm of prostate,9327
2001,Males,27,"Malignant neoplasm of kidney, except renal pelvis",1937
2001,Males,96,Malignant neoplasm of bladder,3231
2001,Males,10,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6863
2001,Males,30,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1000
2001,Males,10,"Endocrine, nutritional and metabolic diseases (E00-E90)",8356
2001,Males,41,Diabetes mellitus,5318
2001,Males,9,Mental and behavioural disorders (F00-F99),7468
2001,Males,61,Mental and behavioural disorders due to use of alcohol,2523
2001,Males,40,"Drug dependence, toxicomania (F11-F16, F18-F19)",127
2001,Males,90,Diseases of the nervous system and the sense organs (G00-H95),9497
2001,Males,79,Meningitis,80
2001,Males,54,Diseases of the circulatory system (I00-I99),75350
2001,Males,45,Ischaemic heart diseases,24913
2001,Males,79,"Other heart diseases (I30-I33, I39-I52)",19513
2001,Males,35,Cerebrovascular diseases,16223
2001,Males,36,Diseases of the respiratory system (J00-J99),17292
2001,Males,88,Influenza,76
2001,Males,48,Pneumonia,4947
2001,Males,75,Chronic lower respiratory diseases,5566
2001,Males,83,Asthma and status asthmaticus,647
2001,Males,18,Diseases of the digestive system (K00-K93),13226
2001,Males,53,"Ulcer of stomach, duodenum and jejunum",486
2001,Males,38,Chronic liver disease,6174
2001,Males,54,Diseases of the skin and subcutaneous tissue (L00-L99),628
2001,Males,81,Diseases of the musculoskeletal system and connective tissue (M00-M99),1387
2001,Males,100,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",164
2001,Males,12,Diseases of the genitourinary system  (N00-N99),3698
2001,Males,64,Diseases of kidney and ureter,2809
2001,Males,58,"Pregnancy, childbirth and the puerperium (O00-O99)",:
2001,Males,72,Certain conditions originating in the perinatal period (P00-P96),1006
2001,Males,54,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",892
2001,Males,87,Congenital malformations of the nervous system,88
2001,Males,90,Congenital malformations of the circulatory system,329
2001,Males,12,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",15872
2001,Males,53,Sudden infant death syndrome,229
2001,Males,18,Ill-defined and unknown causes of mortality,7726
2001,Males,90,External causes of morbidity and mortality (V01-Y89),25102
2001,Males,53,Accidents,15867
2001,Males,3,Transport accidents (V01-V99),5840
2001,Males,92,Falls,2546
2001,Males,3,Accidental poisoning by and exposure to noxious substances,459
2001,Males,90,Intentional self-harm,7798
2001,Males,18,Assault,324
2001,Males,36,Event of undetermined intent,553
2001,Females,53,All causes of death (A00-Y89) excluding S00-T98,263325
2001,Females,12,Certain infectious and parasitic diseases (A00-B99),5157
2001,Females,52,Tuberculosis,516
2001,Females,84,Meningococcal infection,15
2001,Females,60,Viral hepatitis,439
2001,Females,39,Human immunodeficiency virus [HIV] disease,248
2001,Females,69,Neoplasms,61421
2001,Females,77,Malignant neoplasms (C00-C97),58262
2001,Females,18,"Malignant neoplasm of lip, oral cavity, pharynx",738
2001,Females,15,Malignant neoplasm of oesophagus,699
2001,Females,45,Malignant neoplasm of stomach,2020
2001,Females,14,Malignant neoplasm of colon,5786
2001,Females,55,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",1780
2001,Females,81,Malignant neoplasm of liver and intrahepatic bile ducts,1705
2001,Females,80,Malignant neoplasm of pancreas,3554
2001,Females,61,"Malignant neoplasm of larynx,  trachea, bronchus and lung",4624
2001,Females,21,Malignant melanoma of skin,631
2001,Females,2,Malignant neoplasm of breast,11088
2001,Females,13,Malignant neoplasm of cervix uteri,793
2001,Females,14,Malignant neoplasm of other parts of uterus,2192
2001,Females,77,Malignant neoplasm of ovary,3260
2001,Females,75,Malignant neoplasm of prostate,:
2001,Females,68,"Malignant neoplasm of kidney, except renal pelvis",1125
2001,Females,22,Malignant neoplasm of bladder,1029
2001,Females,99,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",5976
2001,Females,35,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1292
2001,Females,61,"Endocrine, nutritional and metabolic diseases (E00-E90)",11668
2001,Females,17,Diabetes mellitus,6223
2001,Females,44,Mental and behavioural disorders (F00-F99),10527
2001,Females,87,Mental and behavioural disorders due to use of alcohol,589
2001,Females,45,"Drug dependence, toxicomania (F11-F16, F18-F19)",36
2001,Females,57,Diseases of the nervous system and the sense organs (G00-H95),12230
2001,Females,68,Meningitis,81
2001,Females,43,Diseases of the circulatory system (I00-I99),87725
2001,Females,83,Ischaemic heart diseases,20125
2001,Females,93,"Other heart diseases (I30-I33, I39-I52)",26190
2001,Females,22,Cerebrovascular diseases,22599
2001,Females,8,Diseases of the respiratory system (J00-J99),15332
2001,Females,84,Influenza,100
2001,Females,99,Pneumonia,5773
2001,Females,97,Chronic lower respiratory diseases,3291
2001,Females,61,Asthma and status asthmaticus,871
2001,Females,49,Diseases of the digestive system (K00-K93),11428
2001,Females,30,"Ulcer of stomach, duodenum and jejunum",517
2001,Females,64,Chronic liver disease,2602
2001,Females,18,Diseases of the skin and subcutaneous tissue (L00-L99),1587
2001,Females,52,Diseases of the musculoskeletal system and connective tissue (M00-M99),2518
2001,Females,90,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",575
2001,Females,63,Diseases of the genitourinary system  (N00-N99),3994
2001,Females,84,Diseases of kidney and ureter,3056
2001,Females,80,"Pregnancy, childbirth and the puerperium (O00-O99)",61
2001,Females,65,Certain conditions originating in the perinatal period (P00-P96),748
2001,Females,95,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",798
2001,Females,42,Congenital malformations of the nervous system,92
2001,Females,29,Congenital malformations of the circulatory system,312
2001,Females,37,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",19862
2001,Females,87,Sudden infant death syndrome,123
2001,Females,80,Ill-defined and unknown causes of mortality,6249
2001,Females,89,External causes of morbidity and mortality (V01-Y89),16977
2001,Females,46,Accidents,13165
2001,Females,20,Transport accidents (V01-V99),2125
2001,Females,45,Falls,2791
2001,Females,7,Accidental poisoning by and exposure to noxious substances,496
2001,Females,67,Intentional self-harm,2827
2001,Females,93,Assault,210
2001,Females,45,Event of undetermined intent,202
2002,Males,64,All causes of death (A00-Y89) excluding S00-T98,278794
2002,Males,73,Certain infectious and parasitic diseases (A00-B99),5468
2002,Males,55,Tuberculosis,507
2002,Males,60,Meningococcal infection,21
2002,Males,66,Viral hepatitis,472
2002,Males,36,Human immunodeficiency virus [HIV] disease,835
2002,Males,29,Neoplasms,92331
2002,Males,86,Malignant neoplasms (C00-C97),89122
2002,Males,12,"Malignant neoplasm of lip, oral cavity, pharynx",3834
2002,Males,53,Malignant neoplasm of oesophagus,3509
2002,Males,86,Malignant neoplasm of stomach,3256
2002,Males,63,Malignant neoplasm of colon,6267
2002,Males,49,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",2365
2002,Males,32,Malignant neoplasm of liver and intrahepatic bile ducts,5231
2002,Males,62,Malignant neoplasm of pancreas,3875
2002,Males,57,"Malignant neoplasm of larynx,  trachea, bronchus and lung",22533
2002,Males,9,Malignant melanoma of skin,733
2002,Males,62,Malignant neoplasm of breast,188
2002,Males,17,Malignant neoplasm of cervix uteri,:
2002,Males,11,Malignant neoplasm of other parts of uterus,:
2002,Males,89,Malignant neoplasm of ovary,:
2002,Males,93,Malignant neoplasm of prostate,9526
2002,Males,12,"Malignant neoplasm of kidney, except renal pelvis",1929
2002,Males,2,Malignant neoplasm of bladder,3306
2002,Males,97,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6703
2002,Males,12,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1023
2002,Males,59,"Endocrine, nutritional and metabolic diseases (E00-E90)",8366
2002,Males,23,Diabetes mellitus,5195
2002,Males,67,Mental and behavioural disorders (F00-F99),7476
2002,Males,31,Mental and behavioural disorders due to use of alcohol,2559
2002,Males,2,"Drug dependence, toxicomania (F11-F16, F18-F19)",121
2002,Males,69,Diseases of the nervous system and the sense organs (G00-H95),9773
2002,Males,44,Meningitis,96
2002,Males,49,Diseases of the circulatory system (I00-I99),74756
2002,Males,70,Ischaemic heart diseases,24569
2002,Males,81,"Other heart diseases (I30-I33, I39-I52)",19657
2002,Males,88,Cerebrovascular diseases,15948
2002,Males,17,Diseases of the respiratory system (J00-J99),17849
2002,Males,38,Influenza,219
2002,Males,93,Pneumonia,5214
2002,Males,59,Chronic lower respiratory diseases,5656
2002,Males,40,Asthma and status asthmaticus,559
2002,Males,52,Diseases of the digestive system (K00-K93),13000
2002,Males,55,"Ulcer of stomach, duodenum and jejunum",493
2002,Males,20,Chronic liver disease,6037
2002,Males,89,Diseases of the skin and subcutaneous tissue (L00-L99),634
2002,Males,38,Diseases of the musculoskeletal system and connective tissue (M00-M99),1315
2002,Males,78,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",150
2002,Males,2,Diseases of the genitourinary system  (N00-N99),3984
2002,Males,26,Diseases of kidney and ureter,3099
2002,Males,60,"Pregnancy, childbirth and the puerperium (O00-O99)",:
2002,Males,99,Certain conditions originating in the perinatal period (P00-P96),947
2002,Males,29,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",777
2002,Males,76,Congenital malformations of the nervous system,65
2002,Males,80,Congenital malformations of the circulatory system,321
2002,Males,18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",16071
2002,Males,69,Sudden infant death syndrome,183
2002,Males,42,Ill-defined and unknown causes of mortality,7475
2002,Males,80,External causes of morbidity and mortality (V01-Y89),25024
2002,Males,63,Accidents,15515
2002,Males,96,Transport accidents (V01-V99),5672
2002,Males,49,Falls,2673
2002,Males,45,Accidental poisoning by and exposure to noxious substances,405
2002,Males,28,Intentional self-harm,7865
2002,Males,19,Assault,325
2002,Males,36,Event of undetermined intent,594
2002,Females,88,All causes of death (A00-Y89) excluding S00-T98,266555
2002,Females,21,Certain infectious and parasitic diseases (A00-B99),5194
2002,Females,9,Tuberculosis,462
2002,Females,43,Meningococcal infection,15
2002,Females,60,Viral hepatitis,405
2002,Females,88,Human immunodeficiency virus [HIV] disease,257
2002,Females,61,Neoplasms,62599
2002,Females,40,Malignant neoplasms (C00-C97),59385
2002,Females,84,"Malignant neoplasm of lip, oral cavity, pharynx",796
2002,Females,15,Malignant neoplasm of oesophagus,759
2002,Females,67,Malignant neoplasm of stomach,2031
2002,Females,23,Malignant neoplasm of colon,5867
2002,Females,74,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",1792
2002,Females,23,Malignant neoplasm of liver and intrahepatic bile ducts,1788
2002,Females,57,Malignant neoplasm of pancreas,3659
2002,Females,69,"Malignant neoplasm of larynx,  trachea, bronchus and lung",5091
2002,Females,74,Malignant melanoma of skin,666
2002,Females,47,Malignant neoplasm of breast,11301
2002,Females,30,Malignant neoplasm of cervix uteri,727
2002,Females,67,Malignant neoplasm of other parts of uterus,2214
2002,Females,23,Malignant neoplasm of ovary,3334
2002,Females,55,Malignant neoplasm of prostate,:
2002,Females,69,"Malignant neoplasm of kidney, except renal pelvis",1143
2002,Females,57,Malignant neoplasm of bladder,1019
2002,Females,46,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6024
2002,Females,97,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1229
2002,Females,3,"Endocrine, nutritional and metabolic diseases (E00-E90)",12047
2002,Females,8,Diabetes mellitus,6517
2002,Females,71,Mental and behavioural disorders (F00-F99),10733
2002,Females,16,Mental and behavioural disorders due to use of alcohol,625
2002,Females,78,"Drug dependence, toxicomania (F11-F16, F18-F19)",25
2002,Females,45,Diseases of the nervous system and the sense organs (G00-H95),13225
2002,Females,42,Meningitis,92
2002,Females,20,Diseases of the circulatory system (I00-I99),86365
2002,Females,53,Ischaemic heart diseases,19549
2002,Females,44,"Other heart diseases (I30-I33, I39-I52)",26604
2002,Females,23,Cerebrovascular diseases,21835
2002,Females,3,Diseases of the respiratory system (J00-J99),16378
2002,Females,53,Influenza,337
2002,Females,99,Pneumonia,6097
2002,Females,52,Chronic lower respiratory diseases,3390
2002,Females,69,Asthma and status asthmaticus,872
2002,Females,72,Diseases of the digestive system (K00-K93),11529
2002,Females,15,"Ulcer of stomach, duodenum and jejunum",446
2002,Females,53,Chronic liver disease,2600
2002,Females,12,Diseases of the skin and subcutaneous tissue (L00-L99),1585
2002,Females,31,Diseases of the musculoskeletal system and connective tissue (M00-M99),2630
2002,Females,8,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",583
2002,Females,62,Diseases of the genitourinary system  (N00-N99),4191
2002,Females,52,Diseases of kidney and ureter,3251
2002,Females,64,"Pregnancy, childbirth and the puerperium (O00-O99)",81
2002,Females,14,Certain conditions originating in the perinatal period (P00-P96),698
2002,Females,96,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",703
2002,Females,83,Congenital malformations of the nervous system,54
2002,Females,59,Congenital malformations of the circulatory system,286
2002,Females,88,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",20475
2002,Females,36,Sudden infant death syndrome,115
2002,Females,84,Ill-defined and unknown causes of mortality,5982
2002,Females,91,External causes of morbidity and mortality (V01-Y89),16893
2002,Females,57,Accidents,12693
2002,Females,87,Transport accidents (V01-V99),1930
2002,Females,44,Falls,2790
2002,Females,93,Accidental poisoning by and exposure to noxious substances,458
2002,Females,8,Intentional self-harm,2945
2002,Females,16,Assault,211
2002,Females,41,Event of undetermined intent,232
2003,Males,21,All causes of death (A00-Y89) excluding S00-T98,284729
2003,Males,56,Certain infectious and parasitic diseases (A00-B99),5616
2003,Males,60,Tuberculosis,518
2003,Males,38,Meningococcal infection,26
2003,Males,62,Viral hepatitis,406
2003,Males,96,Human immunodeficiency virus [HIV] disease,794
2003,Males,70,Neoplasms,92631
2003,Males,100,Malignant neoplasms (C00-C97),89397
2003,Males,73,"Malignant neoplasm of lip, oral cavity, pharynx",3635
2003,Males,55,Malignant neoplasm of oesophagus,3401
2003,Males,24,Malignant neoplasm of stomach,3174
2003,Males,63,Malignant neoplasm of colon,6314
2003,Males,32,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",2325
2003,Males,3,Malignant neoplasm of liver and intrahepatic bile ducts,5321
2003,Males,24,Malignant neoplasm of pancreas,3946
2003,Males,12,"Malignant neoplasm of larynx,  trachea, bronchus and lung",22700
2003,Males,19,Malignant melanoma of skin,764
2003,Males,19,Malignant neoplasm of breast,188
2003,Males,93,Malignant neoplasm of cervix uteri,:
2003,Males,73,Malignant neoplasm of other parts of uterus,:
2003,Males,47,Malignant neoplasm of ovary,:
2003,Males,27,Malignant neoplasm of prostate,9695
2003,Males,48,"Malignant neoplasm of kidney, except renal pelvis",2001
2003,Males,69,Malignant neoplasm of bladder,3490
2003,Males,26,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6797
2003,Males,4,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,976
2003,Males,33,"Endocrine, nutritional and metabolic diseases (E00-E90)",9403
2003,Males,3,Diabetes mellitus,5611
2003,Males,16,Mental and behavioural disorders (F00-F99),7841
2003,Males,33,Mental and behavioural disorders due to use of alcohol,2552
2003,Males,93,"Drug dependence, toxicomania (F11-F16, F18-F19)",120
2003,Males,43,Diseases of the nervous system and the sense organs (G00-H95),10897
2003,Males,24,Meningitis,82
2003,Males,32,Diseases of the circulatory system (I00-I99),75040
2003,Males,41,Ischaemic heart diseases,24213
2003,Males,27,"Other heart diseases (I30-I33, I39-I52)",20036
2003,Males,72,Cerebrovascular diseases,16120
2003,Males,3,Diseases of the respiratory system (J00-J99),18939
2003,Males,2,Influenza,192
2003,Males,14,Pneumonia,5514
2003,Males,42,Chronic lower respiratory diseases,6108
2003,Males,52,Asthma and status asthmaticus,516
2003,Males,93,Diseases of the digestive system (K00-K93),13453
2003,Males,63,"Ulcer of stomach, duodenum and jejunum",501
2003,Males,39,Chronic liver disease,6122
2003,Males,26,Diseases of the skin and subcutaneous tissue (L00-L99),613
2003,Males,25,Diseases of the musculoskeletal system and connective tissue (M00-M99),1288
2003,Males,17,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",155
2003,Males,41,Diseases of the genitourinary system  (N00-N99),4121
2003,Males,65,Diseases of kidney and ureter,3139
2003,Males,1,"Pregnancy, childbirth and the puerperium (O00-O99)",:
2003,Males,76,Certain conditions originating in the perinatal period (P00-P96),910
2003,Males,65,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",858
2003,Males,96,Congenital malformations of the nervous system,77
2003,Males,22,Congenital malformations of the circulatory system,341
2003,Males,71,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",17010
2003,Males,43,Sudden infant death syndrome,173
2003,Males,42,Ill-defined and unknown causes of mortality,7523
2003,Males,85,External causes of morbidity and mortality (V01-Y89),25133
2003,Males,54,Accidents,15299
2003,Males,11,Transport accidents (V01-V99),4811
2003,Males,77,Falls,2788
2003,Males,43,Accidental poisoning by and exposure to noxious substances,513
2003,Males,68,Intentional self-harm,8187
2003,Males,39,Assault,306
2003,Males,67,Event of undetermined intent,506
2003,Females,37,All causes of death (A00-Y89) excluding S00-T98,277858
2003,Females,41,Certain infectious and parasitic diseases (A00-B99),5781
2003,Females,11,Tuberculosis,441
2003,Females,66,Meningococcal infection,18
2003,Females,2,Viral hepatitis,329
2003,Females,42,Human immunodeficiency virus [HIV] disease,250
2003,Females,10,Neoplasms,63145
2003,Females,70,Malignant neoplasms (C00-C97),59885
2003,Females,39,"Malignant neoplasm of lip, oral cavity, pharynx",707
2003,Females,72,Malignant neoplasm of oesophagus,690
2003,Females,43,Malignant neoplasm of stomach,1878
2003,Females,49,Malignant neoplasm of colon,6082
2003,Females,89,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",1857
2003,Females,44,Malignant neoplasm of liver and intrahepatic bile ducts,1856
2003,Females,8,Malignant neoplasm of pancreas,3577
2003,Females,51,"Malignant neoplasm of larynx,  trachea, bronchus and lung",5422
2003,Females,69,Malignant melanoma of skin,684
2003,Females,34,Malignant neoplasm of breast,11276
2003,Females,65,Malignant neoplasm of cervix uteri,782
2003,Females,42,Malignant neoplasm of other parts of uterus,2299
2003,Females,92,Malignant neoplasm of ovary,3279
2003,Females,90,Malignant neoplasm of prostate,:
2003,Females,73,"Malignant neoplasm of kidney, except renal pelvis",1158
2003,Females,99,Malignant neoplasm of bladder,1091
